Category: All categories,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,park slope parents: (New York NY),,,,,,,,,,,,
2004-01,0,26,57,64,60,70,59,51,55,45,46,26,23
2004-02,0,38,53,89,52,59,52,45,61,49,31,27,19
2004-03,35,39,26,68,57,52,34,36,53,36,40,32,26
2004-04,54,37,82,44,40,52,62,38,43,41,35,27,21
2004-05,47,31,46,100,73,52,56,43,28,48,34,21,18
2004-06,47,23,86,88,46,49,35,38,48,51,23,20,21
2004-07,25,49,49,63,47,44,50,34,48,43,29,25,21
2004-08,23,62,90,57,73,55,33,43,35,37,32,24,29
2004-09,32,44,54,84,44,55,56,33,43,39,30,26,23
2004-10,44,46,58,43,81,50,47,34,38,40,18,30,19
2004-11,20,68,56,45,34,40,37,41,45,41,20,24,19
2004-12,20,56,26,48,53,53,67,31,33,30,18,16,20
2005-01,,,,,,,,,,,,,
2005-02,,,,,,,,,,,,,
2005-03,,,,,,,,,,,,,
2005-04,,,,,,,,,,,,,
2005-05,,,,,,,,,,,,,
2005-06,,,,,,,,,,,,,
2005-07,,,,,,,,,,,,,
2005-08,,,,,,,,,,,,,
2005-09,,,,,,,,,,,,,
2005-10,,,,,,,,,,,,,
2005-11,,,,,,,,,,,,,
2005-12,,,,,,,,,,,,,
2006-01,,,,,,,,,,,,,
2006-02,,,,,,,,,,,,,
2006-03,,,,,,,,,,,,,
2006-04,,,,,,,,,,,,,
2006-05,,,,,,,,,,,,,
2006-06,,,,,,,,,,,,,
2006-07,,,,,,,,,,,,,
2006-08,,,,,,,,,,,,,
2006-09,,,,,,,,,,,,,
2006-10,,,,,,,,,,,,,
2006-11,,,,,,,,,,,,,
2006-12,,,,,,,,,,,,,
2007-01,,,,,,,,,,,,,
2007-02,,,,,,,,,,,,,
2007-03,,,,,,,,,,,,,
2007-04,,,,,,,,,,,,,
2007-05,,,,,,,,,,,,,
2007-06,,,,,,,,,,,,,
2007-07,,,,,,,,,,,,,
2007-08,,,,,,,,,,,,,
2007-09,,,,,,,,,,,,,
2007-10,,,,,,,,,,,,,
2007-11,,,,,,,,,,,,,
2007-12,,,,,,,,,,,,,
2008-01,,,,,,,,,,,,,
2008-02,,,,,,,,,,,,,
2008-03,,,,,,,,,,,,,
2008-04,,,,,,,,,,,,,
2008-05,,,,,,,,,,,,,
2008-06,,,,,,,,,,,,,
2008-07,,,,,,,,,,,,,
2008-08,,,,,,,,,,,,,
2008-09,,,,,,,,,,,,,
2008-10,,,,,,,,,,,,,
2008-11,,,,,,,,,,,,,
2008-12,,,,,,,,,,,,,
2009-01,,,,,,,,,,,,,
2009-02,,,,,,,,,,,,,
2009-03,,,,,,,,,,,,,
2009-04,,,,,,,,,,,,,
2009-05,,,,,,,,,,,,,
2009-06,,,,,,,,,,,,,
2009-07,,,,,,,,,,,,,
2009-08,,,,,,,,,,,,,
2009-09,,,,,,,,,,,,,
2009-10,,,,,,,,,,,,,
2009-11,,,,,,,,,,,,,
2009-12,,,,,,,,,,,,,
2010-01,,,,,,,,,,,,,
2010-02,,,,,,,,,,,,,
2010-03,,,,,,,,,,,,,
2010-04,,,,,,,,,,,,,
2010-05,,,,,,,,,,,,,
2010-06,,,,,,,,,,,,,
2010-07,,,,,,,,,,,,,
2010-08,,,,,,,,,,,,,
2010-09,,,,,,,,,,,,,
2010-10,,,,,,,,,,,,,
2010-11,,,,,,,,,,,,,
2010-12,,,,,,,,,,,,,
2011-01,,,,,,,,,,,,,
2011-02,,,,,,,,,,,,,
2011-03,,,,,,,,,,,,,
2011-04,,,,,,,,,,,,,
2011-05,,,,,,,,,,,,,
2011-06,,,,,,,,,,,,,
2011-07,,,,,,,,,,,,,
2011-08,,,,,,,,,,,,,
2011-09,,,,,,,,,,,,,
2011-10,,,,,,,,,,,,,
2011-11,,,,,,,,,,,,,
2011-12,,,,,,,,,,,,,
2012-01,,,,,,,,,,,,,
2012-02,,,,,,,,,,,,,
2012-03,,,,,,,,,,,,,
2012-04,,,,,,,,,,,,,
2012-05,,,,,,,,,,,,,
2012-06,,,,,,,,,,,,,
2012-07,,,,,,,,,,,,,
2012-08,,,,,,,,,,,,,
2012-09,,,,,,,,,,,,,
2012-10,,,,,,,,,,,,,
2012-11,,,,,,,,,,,,,
2012-12,,,,,,,,,,,,,
2013-01,,,,,,,,,,,,,
2013-02,,,,,,,,,,,,,
2013-03,,,,,,,,,,,,,
2013-04,,,,,,,,,,,,,
2013-05,,,,,,,,,,,,,
2013-06,,,,,,,,,,,,,
2013-07,,,,,,,,,,,,,
2013-08,,,,,,,,,,,,,
2013-09,,,,,,,,,,,,,
2013-10,,,,,,,,,,,,,
2013-11,,,,,,,,,,,,,
2013-12,,,,,,,,,,,,,
2014-01,,,,,,,,,,,,,
2014-02,,,,,,,,,,,,,
2014-03,,,,,,,,,,,,,
2014-04,,,,,,,,,,,,,
2014-05,,,,,,,,,,,,,
2014-06,,,,,,,,,,,,,
2014-07,,,,,,,,,,,,,
2014-08,,,,,,,,,,,,,
2014-09,,,,,,,,,,,,,
2014-10,,,,,,,,,,,,,
2014-11,,,,,,,,,,,,,
2014-12,,,,,,,,,,,,,
2015-01,,,,,,,,,,,,,
2015-02,,,,,,,,,,,,,
2015-03,,,,,,,,,,,,,
2015-04,,,,,,,,,,,,,
2015-05,,,,,,,,,,,,,
2015-06,,,,,,,,,,,,,
2015-07,,,,,,,,,,,,,
2015-08,,,,,,,,,,,,,
2015-09,,,,,,,,,,,,,
2015-10,,,,,,,,,,,,,
2015-11,,,,,,,,,,,,,
2015-12,,,,,,,,,,,,,
2016-01,,,,,,,,,,,,,
2016-02,,,,,,,,,,,,,
2016-03,,,,,,,,,,,,,
2016-04,,,,,,,,,,,,,
2016-05,,,,,,,,,,,,,
2016-06,,,,,,,,,,,,,
2016-07,,,,,,,,,,,,,
2016-08,,,,,,,,,,,,,
2016-09,,,,,,,,,,,,,
2016-10,,,,,,,,,,,,,
2016-11,,,,,,,,,,,,,
2016-12,,,,,,,,,,,,,
